driverId,name,ssn,location,certified,wage-plan
10,Steven Shaw,580-31-3124,"5499 Renee Place
Port Amanda, IA 85491",N,hours
11,Ryan Lynch,041-49-7070,"346 Chang Fields Suite 072
Jasonfort, ME 03250",Y,hours
12,Kimberly Mccarthy,377-04-8125,"PSC 1230, Box 8666
APO AE 30885",Y,hours
13,Anthony Chandler,811-65-8231,"20298 Mcgee Trail Suite 481
Lake Susanfurt, MD 27564",Y,hours
14,Lynn Taylor,040-42-6275,"04099 Jones Ridge
West Johnchester, KS 62609",Y,miles
15,Benjamin Montes,626-46-7132,"0552 Washington Gateway
Hopkinsmouth, GU 11276",Y,miles
16,Christine Lin,640-60-2395,"71489 Amanda Brooks Apt. 106
Timothyfurt, FM 64866",N,miles
17,Alan Allen,784-39-7110,"488 Avila Plaza
Aaronview, IL 16650",Y,hours
18,James Garcia,775-04-0379,"837 Parker Pass Apt. 595
West Jeffery, PR 62133",N,miles
19,Christopher Shepard,688-21-4473,"9979 Mills Cliffs Suite 139
Clarkview, VA 79406",N,miles
20,Jennifer Turner,629-66-7129,"82689 Amanda Turnpike
West Stephanie, PA 24760",N,miles
21,Jeffery Randolph,528-36-7698,"8990 Lyons Run
Lindaton, WY 91006",Y,hours
22,Manuel Hernandez,518-21-9809,"017 Jeffrey Points
Port Jennifer, TN 92927",N,miles
23,Michael Gates,168-02-8112,"91890 David Loaf
Paulaport, AR 53611",Y,hours
24,Christopher Cole,828-64-4278,"8695 Terri Radial Apt. 224
South Linda, WY 37345",N,hours
25,Patrick Taylor,027-65-3613,"527 Hill Flats Apt. 405
Washingtonburgh, AR 64677",Y,hours
26,Thomas Hale,544-71-1999,"7278 Allen Heights Suite 119
Glasschester, UT 24736",N,hours
27,Mark Wright,177-14-6156,"2961 Brown Inlet Suite 473
East Joseborough, NJ 37456",Y,miles
28,Amanda Williams,327-04-6509,"67943 Heather Stream Apt. 250
Port Davidborough, RI 68645",N,hours
29,Benjamin Ochoa,736-89-3311,"94311 Dean Rapids Apt. 580
Washingtonview, IN 03419",Y,hours
30,Henry Bennett,314-20-6442,"8077 Taylor Ridges
New Melissaport, DC 39135",Y,hours
31,Angel Benitez,517-05-1221,"USS Matthews
FPO AA 59426",Y,hours
32,Tina Klein,540-81-0079,"819 David Summit
Jonesberg, VT 58186",Y,miles
